FPR_Micro,TPR_Micro
0.01867,0.02003
0.01881,0.02003
0.01918,0.02040
0.01923,0.02040
0.01923,0.02059
0.01937,0.02059
0.01942,0.02077
0.01951,0.02096
0.01961,0.02096
0.01961,0.02115
0.01970,0.02115
0.01979,0.02115
0.01984,0.02115
0.01984,0.02134
0.01989,0.02134
0.01993,0.02152
0.02017,0.02171
0.02021,0.02171
0.02021,0.02208
0.02031,0.02208
0.02031,0.02265
0.02035,0.02283
0.02049,0.02283
0.02054,0.02302
0.02054,0.02358
0.02063,0.02358
0.02063,0.02377
0.02068,0.02377
0.02073,0.02396
0.02082,0.02414
0.02082,0.02433
0.02087,0.02508
0.02087,0.02545
0.02092,0.02545
0.02106,0.02602
0.02115,0.02602
0.02115,0.02620
0.02134,0.02620
0.02134,0.02658
0.02134,0.02695
0.02134,0.02714
0.02143,0.02733
0.02143,0.02751
0.02148,0.02751
0.02152,0.02770
0.02162,0.02770
0.02162,0.02789
0.02166,0.02789
0.02166,0.02826
0.02166,0.02882
0.02166,0.02920
0.02171,0.02938
0.02171,0.02957
0.02176,0.02957
0.02176,0.02976
0.02180,0.02995
0.02180,0.03032
0.02185,0.03032
0.02185,0.03051
0.02190,0.03069
0.02194,0.03069
0.02194,0.03088
0.02199,0.03088
0.02204,0.03126
0.02204,0.03144
0.02204,0.03182
0.02208,0.03200
0.02213,0.03200
0.02213,0.03257
0.02223,0.03257
0.02223,0.03294
0.02227,0.03294
0.02227,0.03388
0.02232,0.03388
0.02232,0.03481
0.02237,0.03481
0.02237,0.03519
0.02237,0.03612
0.02241,0.03612
0.02241,0.03650
0.02246,0.03650
0.02246,0.03724
0.02246,0.03762
0.02255,0.03799
0.02260,0.03799
0.02260,0.03818
0.02260,0.03930
0.02260,0.03949
0.02265,0.03968
0.02265,0.04043
0.02265,0.04118
0.02269,0.04118
0.02269,0.04192
0.02269,0.04267
0.02274,0.04286
0.02274,0.04342
0.02279,0.04361
0.02279,0.04398
0.02279,0.04473
0.02279,0.04585
0.02283,0.04604
0.02283,0.04660
0.02283,0.04698
0.02297,0.04698
0.02297,0.04754
0.02297,0.04791
0.02297,0.04829
0.02297,0.04885
0.02297,0.04904
0.02307,0.04904
0.02307,0.05016
0.02311,0.05016
0.02311,0.05035
0.02311,0.05072
0.02311,0.05091
0.02316,0.05091
0.02316,0.05128
0.02316,0.05147
0.02321,0.05147
0.02321,0.05222
0.02321,0.05372
0.02321,0.05409
0.02321,0.05428
0.02325,0.05428
0.02325,0.05503
0.02325,0.05540
0.02330,0.05559
0.02330,0.05596
0.02330,0.05634
0.02330,0.05671
0.02335,0.05690
0.02335,0.05708
0.02335,0.05746
0.02335,0.05858
0.02335,0.05914
0.02340,0.05914
0.02340,0.05989
0.02340,0.06120
0.02340,0.06176
0.02340,0.06326
0.02340,0.06345
0.02344,0.06420
0.02344,0.06457
0.02344,0.06494
0.02344,0.06532
0.02344,0.06625
0.02344,0.06700
0.02344,0.06719
0.02344,0.06775
0.02344,0.06794
0.02344,0.06869
0.02344,0.06925
0.02344,0.07000
0.02344,0.07056
0.02344,0.07093
0.02344,0.07150
0.02344,0.07187
0.02344,0.07243
0.02344,0.07262
0.02344,0.07430
0.02344,0.07449
0.02344,0.07486
0.02344,0.07543
0.02344,0.07617
0.02344,0.07636
0.02344,0.07711
0.02344,0.07730
0.02344,0.07842
0.02344,0.07861
0.02344,0.07936
0.02344,0.08010
0.02344,0.08029
0.02344,0.08085
0.02344,0.08198
0.02344,0.08235
0.02344,0.08329
0.02344,0.08441
0.02344,0.08478
0.02344,0.08591
0.02344,0.08703
0.02344,0.08815
0.02344,0.08946
0.02354,0.09021
0.02354,0.09096
0.02354,0.09115
0.02354,0.09190
0.02354,0.09302
0.02354,0.09377
