FPR_Micro,TPR_Micro
0.02344,0.11286
0.02349,0.11305
0.02349,0.11398
0.02349,0.11436
0.02349,0.11454
0.02349,0.11641
0.02349,0.11754
0.02349,0.11772
0.02349,0.11922
0.02354,0.12016
0.02354,0.12091
0.02354,0.12109
0.02354,0.12184
0.02354,0.12222
0.02354,0.12240
0.02354,0.12353
0.02354,0.12427
0.02354,0.12502
0.02354,0.12521
0.02354,0.12558
0.02354,0.12615
0.02358,0.12671
0.02358,0.12708
0.02358,0.12783
0.02358,0.12821
0.02358,0.12858
0.02358,0.12914
0.02358,0.12989
0.02358,0.13026
0.02358,0.13195
0.02358,0.13345
0.02358,0.13401
0.02358,0.13438
0.02358,0.13513
0.02358,0.13569
0.02358,0.13588
0.02358,0.13663
0.02358,0.13756
0.02358,0.13794
0.02358,0.13831
0.02358,0.13906
0.02363,0.13943
0.02363,0.14000
0.02363,0.14018
0.02363,0.14056
0.02363,0.14112
0.02368,0.14149
0.02368,0.14187
0.02368,0.14299
0.02368,0.14337
0.02368,0.14411
0.02368,0.14468
0.02372,0.14468
0.02372,0.14486
0.02372,0.14599
0.02372,0.14636
0.02372,0.14692
0.02372,0.14786
0.02372,0.14898
0.02377,0.14898
0.02377,0.14917
0.02377,0.14973
0.02377,0.15010
0.02382,0.15010
0.02382,0.15066
0.02386,0.15085
0.02386,0.15141
0.02386,0.15197
0.02386,0.15235
0.02386,0.15254
0.02386,0.15328
0.02386,0.15385
0.02386,0.15403
0.02386,0.15441
0.02386,0.15497
0.02386,0.15534
0.02386,0.15609
0.02386,0.15665
0.02386,0.15703
0.02386,0.15740
0.02386,0.15796
0.02386,0.15834
0.02386,0.15871
0.02386,0.15890
0.02386,0.16002
0.02386,0.16040
0.02386,0.16115
0.02386,0.16171
0.02391,0.16189
0.02391,0.16264
0.02391,0.16283
0.02396,0.16358
0.02396,0.16395
0.02396,0.16489
0.02396,0.16639
0.02400,0.16657
0.02400,0.16732
0.02400,0.16770
0.02400,0.16788
0.02400,0.16826
0.02400,0.16901
0.02400,0.16938
0.02400,0.16957
0.02400,0.17013
0.02400,0.17106
0.02400,0.17163
0.02400,0.17181
0.02405,0.17219
0.02405,0.17238
0.02405,0.17350
0.02410,0.17350
0.02410,0.17369
0.02410,0.17406
0.02410,0.17462
0.02410,0.17537
0.02410,0.17612
0.02410,0.17799
0.02410,0.17836
0.02410,0.17893
0.02410,0.17930
0.02410,0.17967
0.02410,0.17986
0.02410,0.18024
0.02410,0.18042
0.02414,0.18080
0.02414,0.18098
0.02414,0.18323
0.02414,0.18360
0.02414,0.18398
0.02414,0.18454
0.02414,0.18491
0.02414,0.18510
0.02414,0.18585
0.02414,0.18660
0.02414,0.18679
0.02414,0.18735
0.02419,0.18735
0.02419,0.18847
0.02419,0.18866
0.02419,0.18922
0.02419,0.18959
0.02419,0.19034
0.02419,0.19109
0.02419,0.19128
0.02419,0.19165
0.02419,0.19184
0.02419,0.19259
0.02419,0.19278
0.02419,0.19352
0.02419,0.19371
0.02419,0.19409
0.02419,0.19427
0.02419,0.19465
0.02419,0.19521
0.02424,0.19540
0.02424,0.19577
0.02424,0.19652
0.02424,0.19671
0.02428,0.19727
0.02428,0.19764
0.02428,0.19783
0.02428,0.19820
0.02428,0.19914
0.02428,0.19989
0.02428,0.20026
0.02428,0.20120
0.02433,0.20138
0.02433,0.20176
0.02433,0.20213
0.02433,0.20232
0.02438,0.20270
0.02438,0.20344
0.02438,0.20382
